2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52287 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52288 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52286 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52285 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52284 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52283 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52290 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52291 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52292 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52295 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52294 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52293 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52300 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52297 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52298 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52299 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52296 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52303 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52302 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52301 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52318 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52317 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52314 | GET /api/cache
